,client_id,name39,name40,name41,name42,name43,name44,name45,name46,name47,name48,name49,name50,name51,name52,name53,name54,name55,name56,name57,name58,name59,name60,name61,name62,name63
81,03ded93262da87aabab41a474465c7cf,champions,,,sleeping,sleeping,,,,sleeping,sleeping,,,,average,,average,,,average,,average,average,,average,average
82,03e3bc0a8678dde19a88ebb09c4f32ee,sleeping,,,,,,,,sleeping,,,,,,sleeping,,,,,sleeping,,,,,
83,03e8a23b1f360fe09edafc454bcfbfea,average,,average,champions,average,sleeping,,average,,loyal,sleeping,average,sleeping,,,,,,sleeping,,sleeping,,sleeping,,
84,03e8fc73db23766da13346445156b9b0,sleeping,,sleeping,sleeping,,sleeping,,,sleeping,sleeping,,sleeping,,,average,,,,,sleeping,,,,sleeping,
85,03eef42fd4ac2e8b41ed8cee943524fc,average,,average,,sleeping,,,,sleeping,sleeping,sleeping,,,,sleeping,,sleeping,,sleeping,sleeping,,average,,sleeping,
86,042086f604002ea406813160dad69c95,average,loyal,sleeping,champions,,sleeping,,,,,sleeping,loyal,,average,,loyal,,,,,,,,,loyal
87,0431c9d8b4278728c0c5240ff986fed6,average,,,average,sleeping,,,,,,,,,sleeping,,,,sleeping,,sleeping,average,average,,,average
88,043511072bde97c1682dac30b3e47835,sleeping,champions,,,sleeping,,,,,,sleeping,sleeping,,,,,,,,,,,,sleeping,
89,043a642680916955a983f815d867cce3,loyal,sleeping,,,sleeping,,sleeping,,sleeping,,champions,,,,sleeping,,,,,sleeping,,sleeping,,sleeping,
90,043ebf8b5eabd577edc5695c9979b3b2,sleeping,,,loyal,sleeping,sleeping,average,average,sleeping,,,,,,,sleeping,sleeping,,,sleeping,,,,,
91,044c51e055e028efa86c84d8d3e61d3a,sleeping,,,,sleeping,,,,,,,sleeping,,,,,,average,sleeping,sleeping,sleeping,,sleeping,average,
92,045d705eb5c9f3ee1b42a7818caa9b60,loyal,,average,average,,,champions,champions,champions,champions,,,,sleeping,loyal,sleeping,,sleeping,,average,,,,sleeping,
93,0464cfe4e26fb9b38bd3579c417b636d,sleeping,sleeping,average,average,sleeping,average,average,,,average,sleeping,,,loyal,,,sleeping,,average,,,,average,sleeping,sleeping
94,046e70fca72a2a98a3368265b9498f83,average,,sleeping,sleeping,,,,,,,,sleeping,sleeping,,,sleeping,,,,,,,,sleeping,
95,046f2bc49d59e61dbc37dafaee3a5843,,,sleeping,,,,,,,,,,,,,,,,,,,,,,
