,index,client_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,recency_score,frequency_score,monetary_score,rfm_score,segment_name
5197,22875,e8c6429791b7999eae631c2030c263d5,64,1,21.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5198,22883,e8d747786303fc6571dd40dcf96ee7c8,37,1,85.76,1,1,1,111,1,1,1,111,LOST CUSTOMER
5199,22890,e8f10db8c7be9979dfd1e373c79e9bab,71,1,147.39,1,1,1,111,1,1,1,111,LOST CUSTOMER
5200,22892,e8f39036e7b2af15b1efe16cbb912172,82,1,57.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5201,22893,e8f4fff804c80479a80164d85844efdc,29,1,134.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5202,22894,e8f52a2d5f51549b56353d9e8d34d650,59,1,25.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5203,22909,e927384c735bed3602e35b9fc97d4a5a,64,1,39.18,1,1,1,111,1,1,1,111,LOST CUSTOMER
5204,22913,e92b64fa6e452054be323de2a938d6ae,57,1,51.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5205,22916,e9367af0835aad2c348d9cdea525effe,86,1,34.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5206,22918,e937929f3b7ba780751a79463e935a20,62,2,150.41,1,1,1,111,1,1,1,111,LOST CUSTOMER
5207,22921,e940ab8595c798b229c90959aed2621f,40,1,3.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5208,22926,e94ee653de6076878c84d77998d79c69,45,2,109.79,1,1,1,111,1,1,1,111,LOST CUSTOMER
5209,22928,e9515e01fa8f51fcdabef36f9d4e4168,28,1,9.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5210,22934,e969aa8beb17b09fc3a31654551981b9,30,2,143.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5211,22939,e97049a83d27797dd7d8de29b03f758a,28,2,141.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5212,22941,e975b47af6c58e1893ec36638f59a7f1,72,1,109.95,1,1,1,111,1,1,1,111,LOST CUSTOMER
5213,22942,e9762a091a20b1eaf6c3f952c44a737b,50,1,69.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5214,22944,e97833dfbe48adb0d787dccb4cd6cf45,79,1,27.69,1,1,1,111,1,1,1,111,LOST CUSTOMER
5215,22947,e97f30c6f1561387e8c4376e8bb3d4fc,50,2,170.18,1,1,2,112,1,1,1,111,LOST CUSTOMER
5216,22950,e98c8388917cfa5f0898fc4d9a4db677,50,1,30.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5217,22958,e9a427b9ca2c30e04f93ca317861e377,44,1,24.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5218,22963,e9ad8488f75e1bf43b8da8a01a6a6c7c,76,1,36.39,1,1,1,111,1,1,1,111,LOST CUSTOMER
5219,22964,e9af1ce3bb209e9f2399a5786cf92ae8,51,1,23.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5220,22972,e9bfc219bdd64d0f520f07d38578af2d,72,1,82.7,1,1,1,111,1,1,1,111,LOST CUSTOMER
5221,22977,e9cbb9f3920f9f90428e080c7ecdcfca,68,2,133.31,1,1,1,111,1,1,1,111,LOST CUSTOMER
5222,22983,e9dc6fed5152d77e58c75739f5b9c63a,79,2,192.86,1,1,2,112,1,1,1,111,LOST CUSTOMER
5223,22985,e9e4fdb9d6fe7efd1280867be19fd4e4,57,2,168.57000000000005,1,1,2,112,1,1,1,111,LOST CUSTOMER
5224,22986,e9e63a7e8f7464a780af7def824260b3,39,1,96.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5225,22989,e9f24881672f73175e419177afbe69e9,69,1,79.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5226,22993,e9fb7606fa9c21fabb77f0b211b9fa55,42,2,175.82,1,1,2,112,1,1,1,111,LOST CUSTOMER
5227,23000,ea0cf4d206a44f0602dd6237dd7292ad,41,1,209.25,1,1,2,112,1,1,1,111,LOST CUSTOMER
